Year,month,day,hour,minute,second   ,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2014,3,6,23,36,15,0.25,0.29,0.28,0.13,0.03,FALSE
2014,3,6,23,37,15,0.23,0.28,0.26,0.11,0.02,FALSE
2014,3,6,23,38,15,0.23,0.28,0.26,0.11,0.02,FALSE
2014,3,6,23,39,15,0.23,0.28,0.26,0.12,0.02,FALSE
2014,3,6,23,40,15,0.23,0.28,0.27,0.12,0.02,FALSE
2014,3,6,23,41,16,0.23,0.28,0.27,0.11,0.02,FALSE
2014,3,6,23,42,16,0.23,0.28,0.27,0.12,0.02,FALSE
2014,3,6,23,43,16,0.23,0.28,0.26,0.11,0.02,FALSE
2014,3,6,23,44,16,0.23,0.28,0.27,0.11,0.02,FALSE
2014,3,6,23,45,16,0.23,0.28,0.28,0.11,0.02,FALSE
2014,3,6,23,46,16,0.23,0.28,0.29,0.14,0.03,FALSE
2014,3,6,23,47,16,0.23,0.28,0.27,0.11,0.02,FALSE
2014,3,6,23,48,16,0.23,0.29,0.28,0.11,0.02,FALSE
2014,3,6,23,49,16,0.23,0.29,0.27,0.11,0.02,FALSE
2014,3,6,23,50,16,0.23,0.29,0.27,0.11,0.02,FALSE
2014,3,6,23,51,16,0.23,0.29,0.28,0.11,0.02,FALSE
2014,3,6,23,52,16,0.23,0.29,0.28,0.11,0.02,FALSE
2014,3,6,23,53,16,0.23,0.29,0.28,0.11,0.02,FALSE
2014,3,6,23,54,16,0.23,0.29,0.28,0.11,0.02,FALSE
2014,3,6,23,55,16,0.23,0.29,0.27,0.11,0.02,FALSE
2014,3,6,23,56,16,0.23,0.3,0.29,0.11,0.03,FALSE
2014,3,6,23,57,16,0.23,0.3,0.28,0.11,0.02,FALSE
2014,3,6,23,58,16,0.22,0.3,0.28,0.11,0.02,FALSE
2014,3,6,23,59,16,0.22,0.3,0.28,0.11,0.02,FALSE
2014,3,7,0,0,16,0.23,0.31,0.29,0.11,0.02,FALSE
2014,3,7,0,1,17,0.23,0.31,0.27,0.11,0.02,FALSE
2014,3,7,0,2,17,0.22,0.31,0.29,0.11,0.02,FALSE
2014,3,7,0,3,17,0.22,0.32,0.29,0.11,0.02,FALSE
2014,3,7,0,4,17,0.22,0.33,0.29,0.11,0.02,FALSE
2014,3,7,0,5,17,0.22,0.33,0.29,0.11,0.02,FALSE
2014,3,7,0,6,17,0.22,0.33,0.28,0.11,0.02,FALSE
2014,3,7,0,7,17,0.25,0.32,0.29,0.13,0.03,FALSE
2014,3,7,0,8,17,0.22,0.3,0.29,0.11,0.02,FALSE
2014,3,7,0,9,17,0.22,0.32,0.29,0.11,0.02,FALSE
2014,3,7,0,10,17,0.22,0.32,0.29,0.11,0.02,FALSE
2014,3,7,0,11,17,0.22,0.32,0.28,0.11,0.02,FALSE
2014,3,7,0,12,17,0.22,0.31,0.3,0.11,0.02,FALSE
2014,3,7,0,13,17,0.22,0.3,0.3,0.11,0.02,FALSE
2014,3,7,0,14,17,0.22,0.32,0.3,0.11,0.02,FALSE
2014,3,7,0,15,17,0.22,0.31,0.3,0.11,0.02,FALSE
2014,3,7,0,16,17,0.22,0.31,0.29,0.11,0.02,FALSE
2014,3,7,0,17,17,0.22,0.3,0.3,0.11,0.03,FALSE
2014,3,7,0,18,17,0.22,0.3,0.31,0.1,0.02,FALSE
2014,3,7,0,19,17,0.22,0.3,0.29,0.11,0.02,FALSE
2014,3,7,0,20,18,0.22,0.3,0.29,0.1,0.02,FALSE
2014,3,7,0,21,18,0.21,0.3,0.31,0.11,0.02,FALSE
2014,3,7,0,22,18,0.21,0.3,0.3,0.1,0.02,FALSE
2014,3,7,0,23,18,0.21,0.3,0.3,0.11,0.02,FALSE
2014,3,7,0,24,18,0.21,0.3,0.31,0.1,0.02,FALSE
2014,3,7,0,25,18,0.21,0.3,0.3,0.11,0.02,FALSE
2014,3,7,0,26,18,0.21,0.3,0.31,0.11,0.02,FALSE
2014,3,7,0,27,18,0.21,0.3,0.3,0.11,0.02,FALSE
2014,3,7,0,28,18,0.24,0.32,0.31,0.12,0.03,FALSE
2014,3,7,0,29,18,0.21,0.3,0.3,0.11,0.02,FALSE
2014,3,7,0,30,18,0.21,0.3,0.3,0.11,0.02,FALSE
2014,3,7,0,31,18,0.21,0.32,0.3,0.11,0.02,FALSE
2014,3,7,0,32,18,0.21,0.32,0.3,0.11,0.02,FALSE
2014,3,7,0,33,18,0.21,0.32,0.3,0.1,0.02,FALSE
2014,3,7,0,34,18,0.21,0.33,0.3,0.1,0.02,FALSE
2014,3,7,0,35,18,0.21,0.33,0.3,0.11,0.02,FALSE
2014,3,7,0,36,18,0.21,0.33,0.3,0.11,0.02,FALSE
2014,3,7,0,37,18,0.21,0.33,0.3,0.11,0.02,FALSE
2014,3,7,0,38,18,0.21,0.33,0.31,0.14,0.03,FALSE
2014,3,7,0,39,18,0.21,0.32,0.31,0.1,0.02,FALSE
2014,3,7,0,40,19,0.21,0.32,0.3,0.1,0.02,FALSE
2014,3,7,0,41,19,0.21,0.33,0.3,0.1,0.02,FALSE
2014,3,7,0,42,19,0.21,0.32,0.32,0.1,0.02,FALSE
2014,3,7,0,43,19,0.21,0.33,0.31,0.1,0.02,FALSE
2014,3,7,0,44,19,0.21,0.33,0.3,0.1,0.02,FALSE
2014,3,7,0,45,19,0.21,0.32,0.3,0.1,0.02,FALSE
2014,3,7,0,46,19,0.21,0.32,0.3,0.1,0.02,FALSE
2014,3,7,0,47,19,0.21,0.31,0.3,0.1,0.02,FALSE
2014,3,7,0,48,19,0.21,0.31,0.3,0.1,0.02,FALSE
2014,3,7,0,49,19,0.23,0.32,0.31,0.12,0.03,FALSE
2014,3,7,0,50,19,0.21,0.32,0.3,0.1,0.02,FALSE
2014,3,7,0,51,19,0.21,0.32,0.31,0.1,0.02,FALSE
2014,3,7,0,52,19,0.21,0.32,0.31,0.1,0.02,FALSE
2014,3,7,0,53,19,0.21,0.32,0.31,0.1,0.02,FALSE
2014,3,7,0,54,19,0.21,0.31,0.31,0.1,0.02,FALSE
