year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2017,3,7,3,36,28,0.2,0.4,0.32,0.12,0.02,FALSE
2017,3,7,3,37,28,0.21,0.39,0.32,0.12,0.02,FALSE
2017,3,7,3,38,28,0.21,0.38,0.32,0.12,0.02,FALSE
2017,3,7,3,39,28,0.21,0.39,0.32,0.13,0.02,FALSE
2017,3,7,3,40,28,0.21,0.39,0.32,0.13,0.03,FALSE
2017,3,7,3,41,28,0.21,0.38,0.33,0.13,0.03,FALSE
2017,3,7,3,42,28,0.21,0.38,0.33,0.13,0.03,FALSE
2017,3,7,3,43,28,0.21,0.37,0.33,0.13,0.03,FALSE
2017,3,7,3,44,28,0.21,0.38,0.33,0.13,0.03,FALSE
2017,3,7,3,45,28,0.21,0.36,0.33,0.13,0.03,FALSE
2017,3,7,3,46,28,0.21,0.36,0.33,0.13,0.03,FALSE
2017,3,7,3,47,28,0.27,0.39,0.35,0.15,0.05,FALSE
2017,3,7,3,48,28,0.21,0.37,0.33,0.12,0.03,FALSE
2017,3,7,3,49,28,0.21,0.39,0.33,0.13,0.03,FALSE
2017,3,7,3,50,28,0.21,0.39,0.33,0.13,0.03,FALSE
2017,3,7,3,51,28,0.21,0.4,0.32,0.13,0.03,FALSE
2017,3,7,3,52,28,0.21,0.36,0.33,0.13,0.03,FALSE
2017,3,7,3,53,28,0.21,0.36,0.32,0.13,0.03,FALSE
2017,3,7,3,54,29,0.21,0.37,0.32,0.13,0.03,FALSE
2017,3,7,3,55,29,0.21,0.4,0.32,0.13,0.03,FALSE
2017,3,7,3,56,29,0.21,0.4,0.32,0.13,0.03,FALSE
2017,3,7,3,57,29,0.21,0.37,0.32,0.13,0.03,FALSE
2017,3,7,3,58,29,0.21,0.37,0.32,0.13,0.03,FALSE
2017,3,7,3,59,29,0.21,0.39,0.32,0.13,0.03,FALSE
2017,3,7,4,0,29,0.21,0.36,0.33,0.14,0.04,FALSE
2017,3,7,4,1,29,0.21,0.37,0.32,0.13,0.03,FALSE
2017,3,7,4,2,29,0.21,0.37,0.32,0.13,0.03,FALSE
2017,3,7,4,3,29,0.21,0.38,0.32,0.13,0.03,FALSE
2017,3,7,4,4,29,0.21,0.38,0.32,0.13,0.03,FALSE
2017,3,7,4,5,29,0.21,0.37,0.32,0.13,0.04,FALSE
2017,3,7,4,6,29,0.21,0.38,0.32,0.13,0.04,FALSE
